POINT_NUM,ASSIGNED_CLUSTER,XCOORD,YCOORD,DIST_CLUSTER1,DIST_CLUSTER2,DIST_CLUSTER3,DIST_CLUSTER4,DIST_CLUSTER5,DIST_CLUSTER6,
1,5.000,33665568.000,-84411072.000,129858.141,366653.844,254940.312,426728.281,128130.328,501041.812,
2,1.000,33764940.000,-84371816.000,23709.742,263493.500,153708.344,320124.500,37436.926,407787.062,
3,1.000,33770888.000,-84358624.000,20586.768,250603.438,140192.297,310748.281,43994.105,393616.344,
4,4.000,34233392.000,-84103280.000,518329.719,283582.969,394451.656,238335.000,529289.375,238492.000,
5,3.000,33921088.000,-84337344.000,136364.516,141057.078,90149.688,161269.828,141278.891,307627.375,
6,4.000,34087632.000,-84530648.000,339878.750,347241.406,344678.062,253568.906,323741.219,496991.062,
7,5.000,33683084.000,-84442304.000,128257.180,371496.438,261484.656,421325.281,118893.641,513439.969,
8,2.000,33968484.000,-84204488.000,244010.359,0.000,112034.570,125850.156,260356.859,167252.297,
9,5.000,33809944.000,-84438912.000,72870.945,283000.969,187854.656,306768.938,45507.531,442470.844,
10,4.000,34070896.000,-84277632.000,296879.000,125850.156,199409.641,0.000,302437.062,246238.047,
11,5.000,33903368.000,-84376928.000,115111.414,184324.844,119437.914,194744.266,112234.883,350565.656,
12,5.000,33836704.000,-84481176.000,121847.305,306467.312,222367.719,310283.844,95143.617,470727.250,
13,5.000,33792892.000,-84396720.000,27803.172,260356.859,156597.531,302437.062,0.000,413346.000,
14,2.000,33975760.000,-84265624.000,214016.500,61567.449,103708.242,95890.828,225004.141,226413.906,
15,2.000,34002832.000,-84146048.000,309448.625,67786.570,174490.391,148145.391,326972.875,105168.672,
16,4.000,34091984.000,-84276000.000,317479.812,142710.250,220323.953,21151.057,322535.781,251321.688,
17,1.000,33788512.000,-84369264.000,0.000,244010.359,136282.203,296879.000,27803.172,392339.656,
18,3.000,33872128.000,-84261648.000,136282.203,112034.570,0.000,199409.641,156597.531,256749.828,
19,6.000,34003208.000,-84040880.000,392339.656,167252.297,256749.828,246238.047,413346.000,0.000,
20,3.000,33936016.000,-84388944.000,148811.062,187291.703,142428.750,174879.891,143335.078,354490.219,